report_date,week_start,week_end,crop,crop_season,activity,state,state_code,is_total,progress_pct,prev_week_pct,prev_year_pct,five_year_avg_pct,source_file
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Piauí,PI,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Rio Grande do Sul,RS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Santa Catarina,SC,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_1,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Bahia,BA,False,0.0001,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Goiás,GO,False,0.0,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Maranhão,MA,False,0.0,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Mato Grosso,MT,False,0.0,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Mato Grosso do Sul,MS,False,0.0001,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Minas Gerais,MG,False,0.0,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Piauí,PI,False,0.0,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,harvest,Total,,True,2e-05,0.0,0.0,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Bahia,BA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Goiás,GO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Maranhão,MA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Maranhão,MA,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Mato Grosso,MT,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Mato Grosso do Sul,MS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
